Formula,Is Perovskite,Tolerance Factor*
SrVSe3,False,1.1942150113772934
HoVS3,False,
HoVSe3,False,
TmVS3,False,
TmVSe3,False,
SmVS3,True,1.0392792656297651
SmVSe3,True,1.0394020266279642
VCuS3,False,
VCuSe3,False,
DyVS3,False,
DyVSe3,False,
EuVS3,False,
EuVSe3,False,
TbVS3,False,
TbVSe3,False,
VCrS3,False,
VCrSe3,False,
ZrTiS3,False,
ZrTiSe3,False,
NdTiS3,False,
NdTiSe3,False,
LuTiS3,False,
LuTiSe3,False,
YTiS3,False,
YTiSe3,False,
PrTiS3,False,
PrTiSe3,False,
CaTiS3,True,1.0879796718938992
CaTiSe3,False,1.0852670998066
SrTiS3,False,1.1344582072790041
SrTiSe3,False,1.1308458888914212
HoTiS3,False,
HoTiSe3,False,
TmTiS3,False,
TmTiSe3,False,
SmTiS3,False,
SmTiSe3,False,
TiCuS3,False,
TiCuSe3,False,
DyTiS3,False,
DyTiSe3,False,
EuTiS3,False,
EuTiSe3,False,
TbTiS3,False,
TbTiSe3,False,
TiCrS3,False,
TiCrSe3,False,
NdZrS3,False,
NdZrSe3,False,
LuZrS3,False,
LuZrSe3,False,
YZrS3,False,
YZrSe3,False,
PrZrS3,False,
PrZrSe3,False,
CaZrS3,True,0.9600898087910713
CaZrSe3,False,0.9552648950066197
SrZrS3,True,1.0011048840756085
SrZrSe3,False,0.9953838824682313
HoZrS3,False,
HoZrSe3,False,
TmZrS3,False,
TmZrSe3,False,
SmZrS3,False,
SmZrSe3,False,
ZrCuS3,False,
ZrCuSe3,False,
DyZrS3,False,
DyZrSe3,False,
EuZrS3,False,
EuZrSe3,False,
TbZrS3,False,
TbZrSe3,False,
ZrCrS3,False,
ZrCrSe3,False,
NdLuS3,False,0.7872056499623589
NdLuSe3,False,0.7806323309781331
NdYS3,False,0.8202449222098205
NdYSe3,False,0.8165231183742788
PrNdS3,False,
PrNdSe3,False,
NdHoS3,False,0.8222985357546665
NdHoSe3,False,0.8187187262945376
NdTmS3,False,0.8334961864479186
NdTmSe3,False,0.8298400082190409
NdSmS3,False,0.792207740796909
NdSmSe3,False,0.7887776913025992
NdCuS3,False,1.310131529168203
NdCuSe3,False,1.324544224179149
NdDyS3,False,0.8166682728397195
NdDySe3,False,0.8131350556424354
NdEuS3,False,
NdEuSe3,False,
TbNdS3,False,
TbNdSe3,False,
NdCrS3,True,1.0850774192133614
NdCrSe3,False,1.0858060902361917
YLuS3,False,
YLuSe3,False,
PrLuS3,False,
PrLuSe3,False,
HoLuS3,False,
HoLuSe3,False,
TmLuS3,False,
TmLuSe3,False,
SmLuS3,False,0.7734587008644944
SmLuSe3,False,0.7669746281125227
LuCuS3,False,
LuCuSe3,False,
DyLuS3,False,
DyLuSe3,False,
EuLuS3,False,
EuLuSe3,False,
TbLuS3,False,
TbLuSe3,False,
LuCrS3,False,
LuCrSe3,False,
PrYS3,False,
PrYSe3,False,
YHoS3,False,
YHoSe3,False,
YTmS3,False,
YTmSe3,False,
SmYS3,False,0.805921009273043
SmYSe3,False,0.8022374813450205
YCuS3,False,
YCuSe3,False,
DyYS3,False,
DyYSe3,False,
EuYS3,False,
EuYSe3,False,
TbYS3,False,
TbYSe3,False,
YCrS3,False,
YCrSe3,False,
CaPrS3,False,0.8623252051880088
CaPrSe3,False,0.8572394671873735
SrPrS3,False,0.8991637726706441
SrPrSe3,False,0.8932416060867105
PrHoS3,False,
PrHoSe3,False,
PrTmS3,False,
PrTmSe3,False,
PrSmS3,False,
PrSmSe3,False,
PrCuS3,False,
PrCuSe3,False,
PrDyS3,False,
PrDySe3,False,
PrEuS3,False,
PrEuSe3,False,
TbPrS3,False,
TbPrSe3,False,
PrCrS3,False,
PrCrSe3,False,
CaTbS3,False,
CaTbSe3,False,
CaCrS3,False,1.1787281539335848
CaCrSe3,False,1.1788931173414028
SrTbS3,False,
SrTbSe3,False,
SrCrS3,False,1.229083468124937
SrCrSe3,False,1.2284039896035643
HoTmS3,False,
HoTmSe3,False,
SmHoS3,False,0.8079387606249931
SmHoSe3,False,0.804394675585248
HoCuS3,False,
HoCuSe3,False,
DyHoS3,False,
DyHoSe3,False,
EuHoS3,False,
EuHoSe3,False,
TbHoS3,False,
TbHoSe3,False,
HoCrS3,False,
HoCrSe3,False,
SmTmS3,False,0.8189408670737353
SmTmSe3,False,0.8153213829860196
TmCuS3,False,
TmCuSe3,False,
DyTmS3,False,
DyTmSe3,False,
EuTmS3,False,
EuTmSe3,False,
TbTmS3,False,
TbTmSe3,False,
TmCrS3,False,
TmCrSe3,False,
SmCuS3,False,1.287252740831453
SmCuSe3,False,1.3013704063287763
SmDyS3,False,0.8024068188256316
SmDySe3,False,0.7989086951153731
SmEuS3,False,
SmEuSe3,False,
TbSmS3,False,
TbSmSe3,False,
SmCrS3,True,1.0661287441754201
SmCrSe3,False,1.0668091612574309
DyCuS3,False,
DyCuSe3,False,
EuCuS3,False,
EuCuSe3,False,
TbCuS3,False,
TbCuSe3,False,
CrCuS3,False,
CrCuSe3,False,
EuDyS3,False,
EuDySe3,False,
TbDyS3,False,
TbDySe3,False,
DyCrS3,False,
DyCrSe3,False,
TbEuS3,False,
TbEuSe3,False,
EuCrS3,False,
EuCrSe3,False,
TbCrS3,False,
TbCrSe3,False,
